名次,上次,aid,标题,mid,up主,投稿时间,时长,分P数,播放增量,弹幕增量,评论增量,收藏增量,硬币增量,分享增量,点赞增量,Pt,修正A,修正B,修正C,Last Pt,rate,长期入榜及期数,新曲排名
112,——,555670887,虚拟歌姬调校教科书《aLIEz》 瑞安Ryan feat.星尘Infinity,277698869,海伊Official,2022/07/09 17:00,265,1,6613,3,5,177,120,59,278,5225.0,0.136,8.982,0.982,,,,
113,NEW,644202399,【星尘infinity】ハイドレンジア/绣球花【SYNTHESIZER V COVER】,82632219,纸鸢EAbird,2022/08/05 18:02,301,1,672,3,21,64,18,10,99,5217.0,1.0,16.071,0.726,,,,46
114,——,643742482,【赤羽原创曲】刀,15357612,苏打是药,2022/07/23 10:00,254,1,1704,0,6,215,48,3,235,5181.0,0.302,16.901,0.97,,,,
115,NEW,643846671,【牧心原创】苍之泣【牧心出道2周年贺】,11363676,Limap_,2022/08/07 16:00,174,1,178,1,18,37,17,4,55,5169.0,1.054,57.303,0.531,,,,47
116,NEW,259238581,解 决 失 恋 的 人,509053123,幻某冰,2022/08/07 11:00,113,1,448,0,23,19,14,9,119,5110.0,1.0,14.732,0.677,,,,48
117,——,598667230,【崩坏3】起风了,52829689,某科学的卡面来打,2022/07/23 18:10,311,1,3500,2,1,132,89,13,264,5083.0,0.185,12.629,0.984,,,,
118,NEW,644341108,【星尘Infinity】Fireflies,18735260,zwq0016,2022/08/10 12:07,233,1,631,3,16,66,15,1,118,5040.0,1.0,14.263,0.752,,,,49
119,——,301676098,【星尘Infinity原创/初投稿】 星涌 【RokI】,299414561,RokI_P,2022/08/04 16:45,202,1,424,0,21,39,24,2,82,5003.0,1.0,29.717,0.699,,,,
120,NEW,429249388,【青溯&沨漪原创】怪盗守则 谁还不是个亚森罗平呢~【Dreamtonics2022创作大赛】,1815366467,吴晓柔甫,2022/08/06 20:09,256,1,349,1,11,45,20,16,55,4964.0,1.0,34.384,0.754,,,,50
121,NEW,686292443,【牧心原创】冷处理|拆碎了美好回忆的我们【牧心出道日48h】,491642429,绮概,2022/08/08 17:00,281,1,96,1,13,23,16,5,28,4914.0,1.411,81.25,0.466,,,,51
122,——,808674189,弈【2022拜年纪单品】,423442,KBShinya,2022/01/31 22:25,272,1,23108,13,21,205,251,111,345,4859.0,0.065,3.947,0.978,,,,
123,——,894476130,【星尘Infinity AI声库官方试听曲】最终祈愿,15817819,星尘Official,2022/03/04 17:00,270,1,8598,17,9,158,148,54,224,4809.0,0.119,7.118,0.945,,,,
124,——,471597717,【东方栀子乐正绫赤羽原创】一首玫瑰赠予【原创PV付】,356626629,东方栀子相关收集站,2022/07/31 16:50,173,1,476,4,5,58,22,6,67,4734.0,1.0,27.731,0.788,,,,
125,——,893533842,【海伊/星尘Minus原创】补天裂【忘川风华录】,326258472,忘川风华录,2022/02/03 18:00,226,1,8292,2,6,159,172,34,196,4688.0,0.122,7.984,0.987,,,,
